Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-06-0079,2013-04-15,Site Plan Control,406 BANK Street,Receipt of Agreement from Owner Pending,Post Approval,John Bernier,5 storey mixed use building on the corner of Bank St and Florence St; building will have 2 commercial tenants on the ground floor and 14 residential dwelling units on the upper storeys.,2023-01-17 23:48,Ward 14,SOMERSET,
D07-12-06-0079,2013-04-15,Site Plan Control,406 BANK Street,Receipt of Agreement from Owner Pending,Post Approval,John Bernier,5 storey mixed use building on the corner of Bank St and Florence St; building will have 2 commercial tenants on the ground floor and 14 residential dwelling units on the upper storeys.,2023-01-17 23:48,Ward 14,SOMERSET,
D07-12-06-0079,2013-04-15,Site Plan Control,408 BANK Street,Receipt of Agreement from Owner Pending,Post Approval,John Bernier,5 storey mixed use building on the corner of Bank St and Florence St; building will have 2 commercial tenants on the ground floor and 14 residential dwelling units on the upper storeys.,2023-01-17 23:48,Ward 14,SOMERSET,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2781 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2797 BASELINE Road,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2704 DRAPER Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2706 DRAPER Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2724 DRAPER Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-08-0089,2008-07-25,Zoning By-law Amendment,2734 DRAPER Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Louise Sweet-Lindsay,"To rezone the property to permit a multistorey housing complex composed of low, medium and high rise apartment builings containing 334 units. The revised proposal includes two stacked townhouse unit buildings, two- 4 storey, one 6 storey, one 8 storey and one 12 storey apartment buildings.",2010-04-29 17:06,Ward 8,COLLEGE,
D02-02-10-0035,2010-04-09,Zoning By-law Amendment,272 BRADLEY Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Kalle Hakala,"The proposal is to expand the existing Community Health and Resource Centre.  The existing building along the western edge of the site and abutting Montreal Road will be retained and renovated, with the three other buildings on site being demolished and replaced by the building expansion.",2010-09-10 13:39,Ward 12,RIDEAU-VANIER,
D02-02-10-0035,2010-04-09,Zoning By-law Amendment,274 BRADLEY Avenue,OMB Appeal Withdrawn - Application Approved,Inactive,Kalle Hakala,"The proposal is to expand the existing Community Health and Resource Centre.  The existing building along the western edge of the site and abutting Montreal Road will be retained and renovated, with the three other buildings on site being demolished and replaced by the building expansion.",2010-09-10 13:39,Ward 12,RIDEAU-VANIER,
D02-02-10-0035,2010-04-09,Zoning By-law Amendment,"297 MONTREAL, CH DE ",OMB Appeal Withdrawn - Application Approved,Inactive,Kalle Hakala,"The proposal is to expand the existing Community Health and Resource Centre.  The existing building along the western edge of the site and abutting Montreal Road will be retained and renovated, with the three other buildings on site being demolished and replaced by the building expansion.",2010-09-10 13:39,Ward 12,RIDEAU-VANIER,
D02-02-10-0035,2010-04-09,Zoning By-law Amendment,"299 MONTREAL, CH DE ",OMB Appeal Withdrawn - Application Approved,Inactive,Kalle Hakala,"The proposal is to expand the existing Community Health and Resource Centre.  The existing building along the western edge of the site and abutting Montreal Road will be retained and renovated, with the three other buildings on site being demolished and replaced by the building expansion.",2010-09-10 13:39,Ward 12,RIDEAU-VANIER,
D02-02-10-0035,2010-04-09,Zoning By-law Amendment,"307 MONTREAL, CH DE ",OMB Appeal Withdrawn - Application Approved,Inactive,Kalle Hakala,"The proposal is to expand the existing Community Health and Resource Centre.  The existing building along the western edge of the site and abutting Montreal Road will be retained and renovated, with the three other buildings on site being demolished and replaced by the building expansion.",2010-09-10 13:39,Ward 12,RIDEAU-VANIER,
D07-12-10-0155,2010-06-11,Site Plan Control,444 CALLISTO Way,Agreement Registered - Final Legal Clearance Given,Post Approval,Lily Xu,To develop the land to 49 freehold townhouse units fronting onto a private street,2011-01-21 11:36,Ward 3,BARRHAVEN WEST,
D02-02-10-0046,2010-04-30,Zoning By-law Amendment,0  ,Amendment Initiated,Active,Carol Ruddy,City Initiated - Comprehensive Zoning By-law: Anomalies Second Quarter Urban,2010-04-30 14:18,Multiple Wards,,
D02-02-10-0050,2010-05-20,Zoning By-law Amendment,1566 STAGECOACH Road,Application Approved in part by OMB,Inactive,Steve Gauthier,residential development of 40 lots to be built on stagecoach across from lakeshore drive.....no municipal address,2012-03-28 15:07,Ward 20,OSGOODE,
D07-12-10-0197,2010-08-03,Site Plan Control,387 BLACKLEAF Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Mike Schmidt,The purpose of the application is to accommodate the development of 120 two-storey townhouse units within a draft approved plan of subdivision.,2011-05-18 14:42,Ward 3,BARRHAVEN WEST,
D07-12-10-0197,2010-08-03,Site Plan Control,424 BLACKLEAF Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Mike Schmidt,The purpose of the application is to accommodate the development of 120 two-storey townhouse units within a draft approved plan of subdivision.,2011-05-18 14:42,Ward 3,BARRHAVEN WEST,
D07-12-10-0197,2010-08-03,Site Plan Control,3893 GREENBANK Road,Agreement Registered - Final Legal Clearance Given,Post Approval,Mike Schmidt,The purpose of the application is to accommodate the development of 120 two-storey townhouse units within a draft approved plan of subdivision.,2011-05-18 14:42,Ward 3,BARRHAVEN WEST,
D02-02-10-0094,2010-11-23,Zoning By-law Amendment,439 QUEEN Street,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas Bridgewater,"Amendment requested for 12-storey office and 24-storey residential building, to remove height overlay, add new uses and address performance standards.",2011-08-11 15:50,Ward 14,SOMERSET,
D02-02-10-0094,2010-11-23,Zoning By-law Amendment,441 QUEEN Street,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas Bridgewater,"Amendment requested for 12-storey office and 24-storey residential building, to remove height overlay, add new uses and address performance standards.",2011-08-11 15:50,Ward 14,SOMERSET,
D02-02-10-0094,2010-11-23,Zoning By-law Amendment,441 QUEEN Street,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas Bridgewater,"Amendment requested for 12-storey office and 24-storey residential building, to remove height overlay, add new uses and address performance standards.",2011-08-11 15:50,Ward 14,SOMERSET,
D02-02-10-0094,2010-11-23,Zoning By-law Amendment,441 QUEEN Street,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas Bridgewater,"Amendment requested for 12-storey office and 24-storey residential building, to remove height overlay, add new uses and address performance standards.",2011-08-11 15:50,Ward 14,SOMERSET,
D02-02-10-0094,2010-11-23,Zoning By-law Amendment,441 QUEEN Street,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas Bridgewater,"Amendment requested for 12-storey office and 24-storey residential building, to remove height overlay, add new uses and address performance standards.",2011-08-11 15:50,Ward 14,SOMERSET,
